                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7392,                 2.6382,                 3.3805,                 1.0118,                0.75977,                0.67426,                0.62297,                0.31778,                0.71479,                0.62754,                0.59424,                0.22769,                 1.7197,                  2.661,                 1.6627,                0.99491,              0.0033279,              0.0033279,              0.0033279
                      2,                 1.7648,                 2.5004,                 1.3069,                 1.0144,                0.73694,                0.63501,                0.60868,                0.28933,                0.74654,                0.65726,                0.64744,                0.27664,                 1.9525,                 2.6054,                 1.1658,                 1.0333,              0.0065953,              0.0065953,              0.0065953
                      3,                 1.8312,                 2.5114,                 1.0729,                 1.0634,                0.75108,                0.66363,                0.64831,                 0.3224,                0.67152,                 0.5927,                0.60559,                0.22924,                 1.7557,                 2.7586,                 1.0257,                 1.0319,              0.0097967,              0.0097967,              0.0097967
                      4,                  1.774,                 2.4747,                0.98184,                 1.0655,                0.68821,                0.53173,                0.50666,                 0.2115,                0.72034,                0.58974,                 0.5846,                0.23124,                 2.3641,                 2.9936,                 1.1987,                 1.1298,               0.009703,               0.009703,               0.009703
                      5,                 1.6927,                 2.4198,                0.91215,                 1.0541,                0.74852,                0.69266,                0.66943,                0.35119,                0.68097,                0.62215,                0.61847,                0.25762,                 1.6705,                  2.512,                0.88628,                 1.0176,               0.009703,               0.009703,               0.009703
                      6,                 1.6264,                 2.3811,                0.86876,                 1.0367,                0.74797,                0.64164,                 0.6446,                0.34014,                0.71403,                0.58202,                0.61109,                0.25902,                  1.738,                 2.6907,                0.91814,                 1.0332,               0.009604,               0.009604,               0.009604
                      7,                 1.5899,                  2.328,                0.84313,                 1.0349,                0.72488,                0.68082,                0.65062,                 0.3364,                0.70624,                0.66777,                0.65356,                0.27912,                 1.7368,                 2.4627,                0.91167,                 1.0177,               0.009505,               0.009505,               0.009505
                      8,                 1.5826,                 2.3195,                0.83477,                 1.0264,                0.75379,                 0.6857,                0.67036,                0.36365,                0.68853,                0.59809,                0.61569,                 0.2466,                 1.6284,                 2.5417,                0.87882,                 1.0102,               0.009406,               0.009406,               0.009406
                      9,                 1.5612,                 2.2974,                0.82793,                 1.0279,                0.76377,                  0.708,                0.68635,                0.38329,                0.69128,                0.63874,                0.63882,                0.27375,                 1.5543,                 2.3659,                0.83067,                  1.005,               0.009307,               0.009307,               0.009307
                     10,                 1.5458,                 2.2698,                0.82204,                 1.0257,                0.76672,                0.70054,                0.68024,                0.36903,                 0.7238,                0.63376,                0.63242,                0.25809,                 1.5559,                 2.4111,                0.84148,                0.99167,               0.009208,               0.009208,               0.009208
                     11,                 1.5615,                 2.2688,                 0.8216,                 1.0207,                0.77129,                0.67939,                0.68417,                0.38492,                0.72489,                0.60325,                0.64373,                0.26043,                 1.5604,                 2.4337,                0.84648,                0.99609,               0.009109,               0.009109,               0.009109
                     12,                 1.5329,                 2.2472,                 0.8094,                 1.0154,                0.78088,                0.70842,                0.69913,                 0.3755,                0.67248,                0.56947,                 0.5786,                0.23221,                 1.5826,                 2.3778,                0.86809,                0.98926,                0.00901,                0.00901,                0.00901
                     13,                 1.5308,                  2.251,                0.82029,                 1.0143,                0.76401,                0.71132,                0.68455,                 0.3885,                 0.7062,                0.64902,                0.64216,                0.27066,                  1.542,                 2.3575,                0.84823,                0.98865,               0.008911,               0.008911,               0.008911
                     14,                 1.5251,                 2.2464,                0.80977,                 1.0138,                0.76985,                0.70261,                0.68167,                0.37879,                0.72339,                0.66487,                0.65923,                0.27657,                 1.5659,                 2.3846,                0.85335,                0.98772,               0.008812,               0.008812,               0.008812
                     15,                 1.5273,                 2.2213,                0.81505,                 1.0052,                0.76239,                0.68644,                0.67765,                 0.3863,                0.71307,                0.62053,                0.65051,                0.27779,                 1.5224,                 2.3337,                0.86035,                 0.9782,               0.008713,               0.008713,               0.008713
                     16,                  1.495,                 2.2006,                0.80696,                 1.0005,                0.77078,                0.70152,                0.69801,                0.39309,                0.69501,                0.59809,                0.62347,                0.25243,                 1.5305,                 2.3707,                 0.8196,                0.97878,               0.008614,               0.008614,               0.008614
                     17,                 1.5012,                 2.1731,                0.81482,                 1.0004,                 0.7737,                0.69342,                0.69346,                 0.3903,                0.71117,                0.60431,                0.63545,                0.25361,                 1.5213,                 2.3283,                0.82916,                0.97139,               0.008515,               0.008515,               0.008515
                     18,                 1.4916,                 2.1687,                0.79306,                0.99334,                0.77977,                0.70303,                0.69636,                0.40215,                0.70474,                 0.6292,                0.64872,                0.27504,                  1.491,                 2.2927,                0.81328,                0.97955,               0.008416,               0.008416,               0.008416
                     19,                 1.4801,                 2.1761,                0.79484,                0.99177,                0.77962,                 0.6823,                0.69605,                0.40241,                0.71095,                0.61107,                0.63631,                0.26153,                 1.4802,                 2.2584,                 0.8042,                0.96612,               0.008317,               0.008317,               0.008317
                     20,                 1.4858,                 2.1817,                0.80335,                0.99373,                0.77117,                0.71174,                0.70427,                0.41131,                0.69958,                0.62973,                0.64856,                0.27279,                   1.47,                 2.2335,                0.80006,                0.97016,               0.008218,               0.008218,               0.008218
                     21,                 1.4664,                 2.1788,                0.78311,                0.98285,                 0.7834,                0.70807,                0.70223,                0.40781,                0.71926,                 0.6462,                0.65986,                0.28385,                 1.4646,                 2.2435,                0.79438,                0.96263,               0.008119,               0.008119,               0.008119
                     22,                  1.477,                 2.1527,                0.79447,                0.98565,                 0.7737,                0.70336,                 0.6964,                0.40758,                0.70665,                0.62796,                0.64467,                0.26544,                 1.4519,                  2.263,                0.79853,                0.96094,                0.00802,                0.00802,                0.00802
                     23,                 1.4817,                 2.1971,                0.79224,                0.99386,                0.76292,                0.71589,                0.70244,                0.40698,                0.68438,                0.62464,                0.63931,                0.26473,                 1.4725,                 2.2578,                0.79502,                0.96183,               0.007921,               0.007921,               0.007921
                     24,                 1.4553,                 2.1384,                0.77327,                0.97976,                0.76458,                0.69971,                0.69362,                0.41418,                0.71772,                0.64123,                0.65625,                0.27816,                 1.4418,                 2.2692,                0.78628,                0.96134,               0.007822,               0.007822,               0.007822
                     25,                  1.465,                 2.1798,                0.78104,                0.97904,                0.77582,                0.70906,                 0.7061,                0.41669,                0.70188,                0.62173,                0.63981,                0.26681,                 1.4401,                 2.2415,                0.78494,                0.96208,               0.007723,               0.007723,               0.007723
                     26,                 1.4572,                 2.1384,                0.78183,                0.98702,                0.77272,                0.71506,                0.69918,                 0.4147,                0.71013,                 0.6371,                0.65301,                0.27076,                 1.4325,                 2.2307,                0.77535,                0.95773,               0.007624,               0.007624,               0.007624
                     27,                 1.4406,                  2.111,                0.77058,                0.97626,                  0.762,                0.71796,                0.69568,                0.40789,                0.71117,                0.63829,                 0.6497,                0.27483,                 1.4356,                 2.2457,                0.76936,                0.96171,               0.007525,               0.007525,               0.007525
                     28,                 1.4342,                 2.1337,                0.76238,                0.98296,                0.76718,                0.71617,                0.69818,                0.41572,                0.71608,                  0.658,                0.66843,                0.28914,                 1.4286,                 2.2458,                0.77508,                0.95388,               0.007426,               0.007426,               0.007426
                     29,                 1.4189,                 2.1192,                0.74882,                0.97103,                0.77169,                 0.7163,                0.70347,                0.41794,                 0.7134,                0.64496,                0.66264,                0.27965,                 1.4345,                 2.2493,                0.77216,                0.95981,               0.007327,               0.007327,               0.007327
