                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8543,                 3.2997,                 3.8223,                 1.2704,                0.44339,                0.32583,                0.27735,                0.10684,                0.40601,                0.30644,                0.23654,                0.08174,                 2.2818,                 4.0108,                 3.6936,                 1.2669,              0.0006639,              0.0006639,              0.0006639
                      2,                 2.0094,                 3.2243,                 2.2306,                 1.3483,                0.47888,                0.35987,                0.31446,                0.13441,                0.43497,                0.32687,                0.27236,                0.08778,                 2.3217,                 3.9297,                 2.1585,                 1.3133,              0.0013174,              0.0013174,              0.0013174
                      3,                 1.9898,                 3.1767,                 1.8426,                 1.3615,                0.59947,                0.33106,                 0.3366,                0.13639,                0.56255,                0.29754,                0.28661,                0.10338,                 2.2817,                 3.7566,                 3.1204,                 1.3654,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.9651,                 3.1519,                 1.7236,                 1.3348,                0.45804,                0.37402,                0.31692,                0.14002,                0.38596,                0.29387,                0.25132,                0.10009,                 2.2113,                 3.6922,                 2.1316,                 1.2643,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8837,                 3.0614,                 1.5795,                 1.3132,                0.60293,                0.42317,                0.40768,                0.18583,                0.47052,                0.34678,                0.31839,                 0.1276,                 2.1608,                 3.7634,                 1.7237,                 1.2089,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.8317,                 3.0171,                 1.5285,                 1.2722,                0.57768,                0.39654,                0.37573,                0.17815,                0.49076,                0.35411,                0.32008,                0.13748,                 2.1405,                 3.6806,                 1.7235,                 1.2504,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.8448,                  3.056,                 1.5104,                 1.2793,                 0.6003,                0.39809,                0.40539,                0.19338,                 0.4576,                0.37297,                0.33739,                0.13866,                 2.0848,                  3.607,                 1.6906,                 1.2214,               0.001901,               0.001901,               0.001901
                      8,                 1.8245,                 2.9928,                 1.4356,                 1.2763,                0.56851,                 0.3604,                0.35914,                0.17002,                0.50816,                0.29649,                 0.2888,                0.10958,                 2.1743,                 3.7195,                 2.1375,                 1.2739,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7856,                 2.9867,                 1.4142,                 1.2479,                0.61715,                0.41331,                0.42954,                0.21358,                0.48719,                0.37297,                0.36534,                0.15741,                  2.044,                 3.5618,                 1.6015,                 1.1948,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.7614,                 2.9889,                 1.3515,                  1.236,                0.57303,                0.40859,                0.39885,                 0.1945,                0.44392,                0.33525,                0.31382,                0.13944,                 2.0408,                 3.5553,                 1.7288,                 1.1893,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.7128,                 2.9047,                 1.3067,                 1.2306,                0.64494,                0.39869,                0.40753,                0.20524,                0.55086,                0.36406,                0.35546,                0.15153,                 2.0679,                 3.6478,                 1.6471,                 1.2051,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.7221,                 2.9012,                 1.3301,                 1.2132,                0.61639,                0.43112,                0.42858,                0.19782,                0.50893,                0.32373,                0.31664,                0.13247,                 1.9942,                 3.5811,                 2.0398,                 1.1476,               0.001802,               0.001802,               0.001802
                     13,                 1.7114,                 2.8778,                 1.2808,                 1.2128,                0.67173,                0.44997,                0.45731,                0.22894,                0.59897,                0.36878,                0.37512,                0.16048,                   1.96,                 3.5055,                 1.5438,                 1.1791,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6618,                 2.8716,                 1.2547,                 1.1922,                0.70213,                0.44788,                0.45816,                0.22317,                 0.6051,                0.37297,                0.37873,                0.15734,                 1.9933,                  3.521,                  1.666,                 1.1662,              0.0017624,              0.0017624,              0.0017624
