                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7402,                 2.7971,                 3.2219,                 1.0757,                0.72686,                0.65239,                0.61063,                0.30495,                0.72432,                0.65651,                0.63077,                0.26179,                 1.7881,                  2.661,                 1.9544,                0.99718,              0.0033286,              0.0033286,              0.0033286
                      2,                 1.7617,                 2.6798,                 1.4129,                 1.0863,                0.72448,                0.59102,                 0.5746,                0.27226,                0.73442,                 0.5877,                0.59569,                 0.2601,                 1.9691,                  2.625,                 1.2487,                 1.0637,               0.006596,               0.006596,               0.006596
                      3,                  1.836,                 2.6979,                 1.2407,                 1.1245,                0.71794,                0.62315,                0.58534,                0.27509,                0.72267,                0.65898,                0.64054,                0.26643,                 1.9726,                 2.9808,                 1.3256,                 1.0479,              0.0097974,              0.0097974,              0.0097974
                      4,                 1.8191,                 2.6688,                 1.1654,                 1.1508,                0.74789,                0.65898,                 0.6568,                0.33524,                0.66055,                0.56902,                0.59912,                0.23999,                 1.7464,                  2.888,                0.98589,                 1.0221,               0.009703,               0.009703,               0.009703
                      5,                 1.7727,                 2.6523,                 1.1097,                 1.1373,                0.74936,                0.69698,                0.65429,                0.34441,                0.70025,                0.67051,                0.63801,                0.27428,                 1.7225,                 2.5844,                 1.0232,                 1.0212,               0.009703,               0.009703,               0.009703
                      6,                  1.729,                 2.6012,                 1.0761,                 1.1346,                0.75421,                0.69258,                0.66201,                0.34933,                0.69032,                0.63138,                0.62042,                0.25922,                 1.7125,                 2.4792,                0.95787,                 1.0138,               0.009604,               0.009604,               0.009604
                      7,                 1.6792,                 2.5471,                 1.0302,                 1.1182,                0.76617,                0.68691,                0.67917,                0.37726,                0.68424,                0.60791,                0.62232,                0.25432,                 1.5883,                 2.5179,                0.91615,                0.99148,               0.009505,               0.009505,               0.009505
                      8,                 1.6663,                 2.5387,                 1.0123,                 1.1082,                0.76706,                0.70117,                0.68526,                0.36001,                0.66455,                0.60091,                0.60858,                0.24129,                 1.6885,                 2.4228,                 0.9274,                0.99146,               0.009406,               0.009406,               0.009406
                      9,                  1.631,                 2.5128,                0.98881,                 1.0986,                0.76293,                0.69587,                0.68151,                0.37408,                0.68298,                0.60502,                0.61856,                 0.2422,                 1.6292,                 2.6974,                0.89987,                0.98467,               0.009307,               0.009307,               0.009307
                     10,                 1.6019,                 2.4711,                0.96307,                 1.0902,                0.77381,                0.68699,                 0.6865,                0.38693,                0.71105,                 0.6285,                0.64654,                0.26791,                 1.5702,                  2.454,                0.89488,                0.97789,               0.009208,               0.009208,               0.009208
                     11,                  1.616,                 2.4596,                0.96032,                 1.1021,                0.75866,                0.71664,                0.67544,                0.37917,                0.71879,                0.67998,                0.65823,                0.27579,                 1.5512,                 2.5165,                0.87517,                0.98776,               0.009109,               0.009109,               0.009109
                     12,                  1.583,                 2.4218,                0.94468,                 1.0856,                  0.756,                 0.7047,                0.67916,                0.38338,                0.70221,                 0.6355,                0.62749,                0.25438,                 1.5696,                 2.5249,                0.87668,                0.98429,                0.00901,                0.00901,                0.00901
                     13,                 1.5673,                  2.432,                0.93374,                 1.0801,                0.75938,                0.69541,                0.68116,                0.37858,                0.69655,                0.62974,                0.64312,                 0.2564,                 1.5696,                 2.4719,                0.87803,                0.97429,               0.008911,               0.008911,               0.008911
                     14,                 1.5838,                 2.4465,                0.93962,                 1.0751,                  0.762,                0.70153,                0.69569,                0.38931,                0.66699,                0.58114,                0.61718,                0.25263,                 1.5702,                 2.5451,                0.86322,                0.97499,               0.008812,               0.008812,               0.008812
                     15,                 1.5558,                 2.4032,                0.91262,                 1.0669,                0.74258,                 0.7047,                0.67826,                0.38649,                0.70823,                0.66104,                0.65565,                   0.28,                 1.5241,                 2.4315,                0.88009,                0.96123,               0.008713,               0.008713,               0.008713
                     16,                 1.5558,                 2.4888,                0.91781,                 1.0697,                0.76007,                0.71746,                0.68921,                0.39285,                0.72005,                0.64909,                0.66305,                0.28441,                 1.5254,                 2.5019,                0.84786,                 0.9678,               0.008614,               0.008614,               0.008614
                     17,                 1.5526,                 2.3961,                  0.906,                 1.0626,                0.76719,                0.70575,                0.69394,                0.39746,                0.69365,                0.63386,                0.62648,                0.26188,                 1.5166,                 2.3741,                0.85794,                0.96695,               0.008515,               0.008515,               0.008515
                     18,                 1.5388,                 2.3814,                0.90732,                  1.062,                0.75385,                0.70923,                0.68277,                 0.3844,                 0.7067,                0.64951,                0.65932,                0.27999,                 1.5774,                 2.5061,                0.87574,                0.97127,               0.008416,               0.008416,               0.008416
                     19,                 1.5187,                 2.3532,                0.89587,                  1.057,                0.76597,                0.70923,                0.69193,                0.39683,                0.70956,                0.64209,                0.66124,                0.27413,                 1.4981,                 2.2767,                0.82325,                0.96498,               0.008317,               0.008317,               0.008317
                     20,                  1.529,                 2.3574,                0.89368,                 1.0562,                0.76957,                0.71663,                0.70148,                0.40843,                0.69878,                 0.6478,                0.66172,                0.27151,                 1.4692,                 2.4336,                0.82832,                0.95325,               0.008218,               0.008218,               0.008218
                     21,                  1.515,                 2.3377,                0.88327,                 1.0506,                0.75897,                0.71847,                0.70008,                0.41045,                0.70438,                0.65321,                0.66234,                0.28095,                 1.4818,                 2.4266,                0.82493,                0.95413,               0.008119,               0.008119,               0.008119
                     22,                 1.4996,                 2.3273,                0.87237,                 1.0502,                0.75617,                0.71211,                0.68775,                0.40569,                0.71025,                0.66886,                0.66771,                0.28636,                 1.4832,                 2.3589,                0.82774,                 0.9546,                0.00802,                0.00802,                0.00802
                     23,                 1.5024,                 2.3528,                0.87126,                 1.0486,                0.77193,                0.71087,                0.69911,                0.41217,                0.71067,                0.64868,                0.65615,                0.27343,                 1.4526,                 2.3971,                0.81219,                 0.9523,               0.007921,               0.007921,               0.007921
                     24,                 1.5033,                 2.3508,                0.88421,                 1.0471,                0.77359,                0.70082,                0.69686,                0.40912,                0.71735,                0.64703,                0.66264,                0.27622,                 1.4547,                 2.3695,                0.80828,                0.95381,               0.007822,               0.007822,               0.007822
                     25,                   1.49,                  2.333,                0.85572,                 1.0462,                0.77163,                0.70428,                0.69964,                0.41206,                0.71188,                0.64456,                0.66139,                0.27503,                  1.467,                 2.3631,                0.81087,                0.95017,               0.007723,               0.007723,               0.007723
                     26,                 1.4921,                 2.3434,                0.85732,                 1.0446,                0.77037,                0.72263,                0.70551,                0.41446,                 0.6944,                0.64786,                0.65529,                0.27417,                  1.458,                 2.2172,                0.80142,                 0.9546,               0.007624,               0.007624,               0.007624
                     27,                 1.4664,                 2.3335,                0.84696,                 1.0371,                0.76583,                0.71252,                0.69599,                 0.4123,                 0.7219,                0.64683,                0.66893,                0.28372,                 1.4511,                 2.1922,                0.81012,                0.94987,               0.007525,               0.007525,               0.007525
                     28,                 1.4821,                 2.3367,                0.85135,                 1.0382,                0.77099,                0.71582,                0.69912,                0.41498,                0.70124,                0.64909,                0.66428,                0.28601,                 1.4498,                 2.4528,                0.78968,                0.94836,               0.007426,               0.007426,               0.007426
                     29,                  1.487,                 2.3161,                0.85238,                 1.0464,                 0.7744,                0.71582,                0.70236,                0.41563,                0.71071,                 0.6587,                0.66383,                 0.2815,                 1.4439,                 2.3633,                0.79284,                0.94777,               0.007327,               0.007327,               0.007327
                     30,                 1.4723,                 2.3079,                0.83957,                 1.0391,                0.76452,                0.72035,                0.70725,                0.41726,                0.71854,                0.63715,                 0.6574,                0.27802,                 1.4517,                 2.3626,                0.78572,                0.95054,               0.007228,               0.007228,               0.007228
                     31,                 1.4606,                 2.2866,                0.83301,                 1.0328,                 0.7734,                0.71829,                0.70791,                0.42073,                0.71132,                 0.6528,                0.66296,                0.27668,                 1.4291,                   2.46,                0.78722,                0.94278,               0.007129,               0.007129,               0.007129
                     32,                 1.4677,                 2.3015,                0.83415,                 1.0359,                0.77169,                0.72112,                0.70929,                0.42143,                0.71336,                0.66104,                0.67054,                 0.2819,                 1.4432,                 2.3337,                0.77494,                0.95108,                0.00703,                0.00703,                0.00703
                     33,                 1.4599,                 2.2931,                 0.8231,                 1.0371,                0.75584,                0.71458,                0.69673,                 0.4143,                0.70092,                0.64961,                0.66288,                0.28448,                 1.4454,                 2.3624,                0.77645,                0.94938,               0.006931,               0.006931,               0.006931
                     34,                 1.4433,                 2.2723,                0.82866,                 1.0302,                0.77055,                0.72198,                0.70245,                0.42172,                 0.7159,                0.66145,                0.66758,                0.28442,                 1.4339,                  2.192,                0.78048,                0.94551,               0.006832,               0.006832,               0.006832
                     35,                 1.4454,                 2.2981,                0.82436,                  1.031,                0.76902,                0.71787,                0.70433,                0.42216,                0.71859,                0.66257,                0.66622,                0.28998,                 1.4179,                 2.3262,                0.77534,                0.94522,               0.006733,               0.006733,               0.006733
                     36,                 1.4513,                 2.2904,                0.82157,                 1.0251,                0.77261,                0.71829,                0.70738,                0.42313,                0.71782,                0.66639,                0.67712,                 0.2908,                  1.423,                  2.332,                0.78066,                0.94202,               0.006634,               0.006634,               0.006634
                     37,                 1.4385,                 2.2425,                0.80667,                 1.0264,                 0.7752,                0.71705,                0.70816,                0.42366,                0.71355,                0.65033,                0.66342,                0.28512,                 1.4231,                  2.306,                0.77755,                0.94443,               0.006535,               0.006535,               0.006535
                     38,                 1.4448,                  2.283,                0.80653,                 1.0311,                0.76412,                0.72364,                 0.7091,                0.42319,                0.71794,                0.65416,                0.66796,                 0.2874,                 1.4167,                 2.4142,                0.77104,                 0.9447,               0.006436,               0.006436,               0.006436
                     39,                 1.4349,                  2.246,                0.80533,                 1.0268,                0.77775,                0.71087,                0.70615,                0.42316,                0.73323,                0.65544,                0.66956,                0.28635,                 1.4149,                 2.3456,                0.76705,                0.94198,               0.006337,               0.006337,               0.006337
                     40,                  1.438,                 2.2694,                0.80597,                 1.0264,                0.76541,                0.72117,                0.70646,                0.42379,                0.70858,                0.66351,                0.66862,                0.28829,                  1.413,                 2.3207,                0.76584,                0.93945,               0.006238,               0.006238,               0.006238
                     41,                 1.4293,                 2.2497,                0.80523,                 1.0211,                0.77237,                0.71252,                0.70761,                0.42687,                0.72356,                0.64898,                0.66983,                0.28736,                 1.4127,                 2.3297,                0.76179,                0.94146,               0.006139,               0.006139,               0.006139
                     42,                 1.4136,                  2.227,                0.78925,                 1.0214,                0.77131,                0.71399,                0.70323,                0.42403,                0.71794,                0.66186,                0.67095,                0.28686,                 1.4039,                 2.2573,                0.75904,                0.94129,                0.00604,                0.00604,                0.00604
                     43,                 1.4199,                 2.2777,                0.80455,                 1.0219,                0.76724,                0.72241,                0.71297,                0.43159,                0.71989,                0.65157,                0.66775,                0.28558,                 1.3879,                 2.2438,                0.74856,                0.93736,               0.005941,               0.005941,               0.005941
                     44,                 1.4301,                 2.2586,                0.80576,                 1.0228,                0.76303,                0.72652,                0.71202,                 0.4308,                0.72213,                0.64662,                0.66863,                0.28488,                 1.4022,                 2.2886,                0.75366,                0.94134,               0.005842,               0.005842,               0.005842
                     45,                 1.4278,                 2.2416,                0.80345,                 1.0221,                0.76753,                0.72343,                0.71044,                0.42931,                0.70989,                 0.6631,                0.66896,                0.28757,                 1.3984,                 2.2358,                0.75991,                0.94087,               0.005743,               0.005743,               0.005743
                     46,                 1.4106,                 2.2194,                0.79555,                 1.0165,                0.77122,                 0.7192,                0.71142,                0.43163,                0.72886,                0.65527,                0.67547,                 0.2869,                  1.392,                 2.2946,                0.75156,                0.94061,               0.005644,               0.005644,               0.005644
                     47,                 1.4083,                 2.2296,                0.78433,                  1.019,                0.77539,                0.71801,                0.71544,                0.43308,                0.72835,                0.66147,                0.67467,                0.28739,                  1.393,                 2.3121,                0.74587,                0.93816,               0.005545,               0.005545,               0.005545
